date,source,reach,sessions,engine_clicks,engine_searches,bookings,revenue
2026-08-17,meta_ads,800,30,0,0,0,0
2026-08-17,google_ads,600,25,0,0,0,0
2026-08-17,organic,300,20,0,0,0,0
2026-08-17,direct,100,16,0,0,0,0
2026-08-17,email,200,10,0,0,0,0
2026-08-17,ota_referral,400,8,0,0,0,0
2026-08-18,meta_ads,800,30,1,0,0,0
2026-08-18,google_ads,600,25,1,0,0,0
2026-08-18,organic,300,20,1,0,0,0
2026-08-18,direct,100,16,1,0,0,0
2026-08-18,email,200,10,0,0,0,0
2026-08-18,ota_referral,400,8,0,0,0,0
2026-08-19,meta_ads,800,30,1,1,0,0
2026-08-19,google_ads,600,25,1,1,0,0
2026-08-19,organic,300,20,1,1,0,0
2026-08-19,direct,100,16,1,1,0,0
2026-08-19,email,200,10,1,0,0,0
2026-08-19,ota_referral,400,8,0,0,0,0
2026-08-20,meta_ads,800,30,1,1,0,0
2026-08-20,google_ads,600,25,1,1,0,0
2026-08-20,organic,300,20,0,0,0,0
2026-08-20,direct,100,16,0,0,0,0
2026-08-20,email,200,10,0,0,0,0
2026-08-20,ota_referral,400,8,0,0,0,0
2026-08-21,meta_ads,919,34,1,1,0,0
2026-08-21,google_ads,690,28,1,1,0,0
2026-08-21,organic,345,23,1,1,0,0
2026-08-21,direct,114,18,1,1,0,0
2026-08-21,email,229,11,1,1,0,0
2026-08-21,ota_referral,459,9,0,0,0,0
2026-08-22,meta_ads,920,35,1,0,0,0
2026-08-22,google_ads,690,29,1,0,0,0
2026-08-22,organic,345,23,1,1,0,0
2026-08-22,direct,115,18,1,1,1,260
2026-08-22,email,230,12,0,0,0,0
2026-08-22,ota_referral,460,9,1,0,0,0
2026-08-23,meta_ads,800,30,1,1,1,260
2026-08-23,google_ads,600,25,1,1,1,260
2026-08-23,organic,300,20,1,0,0,0
2026-08-23,direct,100,16,1,1,0,0
2026-08-23,email,200,10,1,1,0,0
2026-08-23,ota_referral,400,8,0,0,0,0
2026-08-24,meta_ads,800,30,1,1,0,0
2026-08-24,google_ads,600,25,1,1,0,0
2026-08-24,organic,300,20,1,1,1,260
2026-08-24,direct,100,16,1,0,0,0
2026-08-24,email,200,10,0,0,0,0
2026-08-24,ota_referral,400,8,0,0,0,0
2026-08-25,meta_ads,800,30,1,1,0,0
2026-08-25,google_ads,600,25,1,1,0,0
2026-08-25,organic,300,20,0,0,0,0
2026-08-25,direct,100,16,0,0,0,0
2026-08-25,email,200,10,1,1,0,0
2026-08-25,ota_referral,400,8,0,0,0,0
2026-08-26,meta_ads,800,30,1,0,0,0
2026-08-26,google_ads,600,25,0,0,0,0
2026-08-26,organic,300,20,1,1,0,0
2026-08-26,direct,100,16,1,1,0,0
2026-08-26,email,200,10,0,0,0,0
2026-08-26,ota_referral,400,8,0,0,0,0
2026-08-27,meta_ads,800,30,1,1,1,260
2026-08-27,google_ads,600,25,1,0,0,0
2026-08-27,organic,300,20,1,1,0,0
2026-08-27,direct,100,16,1,1,1,260
2026-08-27,email,200,10,1,0,0,0
2026-08-27,ota_referral,400,8,1,1,0,0
2026-08-28,meta_ads,920,34,1,1,0,0
2026-08-28,google_ads,690,29,1,1,1,260
2026-08-28,organic,345,23,1,1,1,260
2026-08-28,direct,115,19,1,1,0,0
2026-08-28,email,230,11,0,0,0,0
2026-08-28,ota_referral,460,9,0,0,0,0
2026-08-29,meta_ads,920,35,1,1,0,0
2026-08-29,google_ads,690,28,1,1,0,0
2026-08-29,organic,345,23,1,0,0,0
2026-08-29,direct,115,18,0,0,0,0
2026-08-29,email,230,12,1,1,1,260
