page_slug,element,day_offset,variant,sessions,clicks,bookings
home,hero.cta.copy,0,a,50,1,0
home,hero.cta.copy,0,b,49,1,0
home,hero.cta.copy,1,a,50,1,0
home,hero.cta.copy,1,b,49,2,0
home,hero.cta.copy,2,a,50,1,0
home,hero.cta.copy,2,b,49,2,1
home,hero.cta.copy,3,a,50,1,1
home,hero.cta.copy,3,b,49,2,0
home,hero.cta.copy,4,a,50,1,0
home,hero.cta.copy,4,b,49,2,1
home,hero.cta.copy,5,a,50,1,0
home,hero.cta.copy,5,b,49,2,0
home,hero.cta.copy,6,a,50,1,0
home,hero.cta.copy,6,b,49,2,1
home,hero.cta.copy,7,a,50,1,1
home,hero.cta.copy,7,b,49,2,0
home,hero.cta.copy,8,a,50,1,0
home,hero.cta.copy,8,b,49,2,0
home,hero.cta.copy,9,a,50,1,0
home,hero.cta.copy,9,b,49,2,1
home,hero.cta.copy,10,a,50,1,1
home,hero.cta.copy,10,b,49,2,0
home,hero.cta.copy,11,a,50,1,0
home,hero.cta.copy,11,b,49,2,1
home,hero.cta.copy,12,a,50,1,0
home,hero.cta.copy,12,b,49,2,0
home,hero.cta.copy,13,a,50,1,0
home,hero.cta.copy,13,b,49,2,1
